             ╭------------------------------------╮
        Name | Angry Locksmith                    |
   Archetype | Bypasser                           |
       Level | 1                                  |
      Memory | 8                                  |
       Ideas | 3                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Pick                               |
             | 🔓🔊                                 |
    Default3 |                                    |
    LevelUp1 | Safecracker                        |
    LevelUp2 | Demolitions Guy                    |
     Special | EFFICIENT PICKER                   |
             | If your action has a 🔓, you may sp |
             | end 💡 for an additional ➜🔊         |
LevelUp1Desc | +2 ⬢y                              |
             |                                    |
             | + 2 Initial 💡                      |
             |                                    |
             | Pick🔓🔊 ⇒                           |
             | Pick II🔓🔓🔊                         |
LevelUp2Desc | +1 Initial 💡                       |
             |                                    |
             | +BREACH                            |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Safecracker                        |
   Archetype | Bypasser                           |
       Level | 2                                  |
      Memory | 10                                 |
       Ideas | 5                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Pick II                            |
             | 🔓🔓🔊                                |
    Default3 |                                    |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | EFFICIENT PICKER                   |
             | If your action has a 🔓, you may sp |
             | end 💡 for an additional ➜🔊         |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Demolitions Guy                    |
   Archetype | Bypasser                           |
       Level | 2                                  |
      Memory | 8                                  |
       Ideas | 4                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Pick                               |
             | 🔓🔊                                 |
    Default3 | Breach                             |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | EFFICIENT PICKER                   |
             | If your action has a 🔓, you may sp |
             | end 💡 for an additional ➜🔊         |
             |                                    |
             | BREACH                             |
             | May spend your action and          |
             | 💡💡💡💡 to create a new Exit on an ex |
             | ternal side of the current tile. I |
             | nitiate Escape phase immediately.  |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Thug                               |
   Archetype | Fighter                            |
       Level | 1                                  |
      Memory | 7                                  |
       Ideas | 0                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Punch                              |
             | 👊🔊🔊➜                               |
    Default3 |                                    |
    LevelUp1 | Bruiser                            |
    LevelUp2 | Operative                          |
     Special | ADRENALINE                         |
             | Gain 💡 when you 👊                  |
LevelUp1Desc | +2 ⬢                               |
             |                                    |
             | + 2 Initial 💡                      |
             |                                    |
             | +Bash👊👊🔊                           |
LevelUp2Desc | +2 ⬢                               |
             |                                    |
             | + 4 Initial 💡                      |
             |                                    |
             | +Spy Stuff🔓👊🔊                      |
             |                                    |
             | +YOU WILL REPORT IN                |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Bruiser                            |
   Archetype | Fighter                            |
       Level | 2                                  |
      Memory | 9                                  |
       Ideas | 2                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Punch                              |
             | 👊🔊🔊➜                               |
    Default3 | Bash                               |
             | 👊👊🔊                                |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | ADRENALINE                         |
             | Gain 💡 when you 👊                  |
             |                                    |
             | ANGER THERAPY                      |
             | 👊 all Guards on your tile when Esc |
             | ape is initiated.                  |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Operative                          |
   Archetype | Fighter                            |
       Level | 2                                  |
      Memory | 9                                  |
       Ideas | 4                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Punch                              |
             | 👊🔊🔊➜                               |
    Default3 | Spy Stuff                          |
             | 🔓👊🔊                                |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | ADRENALINE                         |
             | Gain 💡  when you 👊                 |
             |                                    |
             | PRESSURE POINTS                    |
             | Guards cannot be unsubdued on or a |
             | djacent to this character.         |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Street Urchin                      |
   Archetype | Rogue                              |
       Level | 1                                  |
      Memory | 9                                  |
       Ideas | 2                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Report                             |
             | 💡🔍🔊                                |
    Default3 |                                    |
    LevelUp1 | Grifter                            |
    LevelUp2 | Mastermind                         |
     Special | THERE ARE BETTER WAYS              |
             | Cannot 👊. For 💡, may exit Guarded  |
             | spaces for the rest of your turn.  |
             | In Escape, you require only 1 Esca |
             | pe Move to exit Guarded spaces.    |
             |                                    |
             | CHANGE OF PLANS                    |
             | Once per heist you may spend 💡💡 to |
             |  re-position up to any 3 planning  |
             | tokens                             |
LevelUp1Desc | +3 ⬢                               |
             | +1 Initial 💡                       |
             |                                    |
             | Walk🔊➜ ⇒                           |
             | Dash🔊➜➜                            |
             |                                    |
             | Report💡🔍🔊⇒                         |
             | Deduce💡💡🔊                          |
LevelUp2Desc | +1 ⬢                               |
             | +1 Initial 💡                       |
             |                                    |
             | Walk🔊➜ ⇒                           |
             | Run🔊🔊➜➜                            |
             |                                    |
             | CHANGE OF PLANS ⇒ALRIGHT, NEW PLAN |
             |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Grifter                            |
   Archetype | Rogue                              |
       Level | 2                                  |
      Memory | 12                                 |
       Ideas | 3                                  |
    Default1 | Dash                               |
             | 🔊➜➜                                |
    Default2 | Deduce                             |
             | 💡💡🔊                                |
    Default3 |                                    |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | THERE ARE BETTER WAYS              |
             | Cannot 👊. For 💡, may exit Guarded  |
             | spaces for the rest of your turn.  |
             | In Escape, you require only 1 Esca |
             | pe Move to exit Guarded spaces.    |
             |                                    |
             | CHANGE OF PLANS                    |
             | Once per heist you may spend 💡💡 to |
             |  re-position up to any 3 planning  |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Mastermind                         |
   Archetype | Rogue                              |
       Level | 2                                  |
      Memory | 10                                 |
       Ideas | 6                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Report                             |
             | 💡🔍🔊                                |
    Default3 | Run                                |
             | 🔊🔊➜➜                               |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | THERE ARE BETTER WAYS              |
             | Cannot 👊. For 💡, may exit Guarded  |
             | spaces for the rest of your turn.  |
             | In Escape, you require only 1 Esca |
             | pe Move to exit a space with guard |
             | s.                                 |
             |                                    |
             | ALRIGHT, NEW PLAN                  |
             | Once per heist you may spend 💡💡 to |
             |  re-position up to any 6 planning  |
             | tokens, and may transfer up to💡💡💡  |
             | to other characters for 🔊🔊         |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Script Kiddie                      |
   Archetype | Hacker                             |
       Level | 1                                  |
      Memory | 6                                  |
       Ideas | 5                                  |
    Default1 | Stride                             |
             | 🔊➜🔍                                |
    Default2 | Autopwn                            |
    Default3 |                                    |
    LevelUp1 | Hacktivist                         |
    LevelUp2 | Black Hat                          |
     Special | AUTOPWN                            |
             | Use this Action and a 💡 to enable  |
             | another character to 👊🔊, 📷🔊, or 🔓🔊 |
             |                                    |
             | I CAN HAZ TEH CODES                |
             | Once per heist, you may spend 💡💡 t |
             | o Reveal all tiles adjacent  to a  |
             | known Live Camera.                 |
LevelUp1Desc | +4 ⬢                               |
             | +1 Initial 💡                       |
             |                                    |
             | Stride🔊➜🔍 ⇒                        |
             | Run🔊🔊➜➜                            |
LevelUp2Desc | +2 ⬢                               |
             |                                    |
             | AUTOPWN⇒                           |
             | EXPLOIT                            |
             |                                    |
             | I CAN HAZ TEH CODES?⇒              |
             | HAS THE CODE                       |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Hacktivist                         |
   Archetype | Hacker                             |
       Level | 2                                  |
      Memory | 10                                 |
       Ideas | 6                                  |
    Default1 | Stride                             |
             | 🔊➜🔍                                |
    Default2 | Autopwn                            |
    Default3 | Run                                |
             | 🔊🔊➜➜                               |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | AUTOPWN                            |
             | Use this Action and a 💡 to enable  |
             | another character to 👊🔊, 📷🔊, or 🔓🔊 |
             |                                    |
             | I CAN HAZ TEH CODES                |
             | Once per heist, you may spend 💡💡 t |
             | o Reveal all tiles adjacent  to a  |
             | known Live Camera.                 |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Black Hat                          |
   Archetype | Hacker                             |
       Level | 2                                  |
      Memory | 8                                  |
       Ideas | 5                                  |
    Default1 | Stride                             |
             | 🔊➜🔍                                |
    Default2 | Exploit                            |
    Default3 |                                    |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | EXPLOIT                            |
             | Use this Action and an 💡 to enable |
             |  another character to 👊👊🔊, 📷📷🔊, or |
             |  🔓🔓🔊                               |
             |                                    |
