              ╭------------------------------------╮
         Name | Smash 'n' Grab                     |
          Qty | 2                                  |
        Level | 1                                  |
         Root | Smash 'n' Grab                     |
     1-action | Punch                              |
 1-subactions | 👊🔊🔊➜                               |
     2-action | Smash                              |
 2-subactions | 📷🔊🔊➜                               |
     3-action | Observe                            |
 3-subactions | 💡🔍🔊                                |
     4-action | Punch                              |
 4-subactions | 👊🔊🔊➜                               |
     5-action | Smash                              |
 5-subactions | 📷🔊🔊➜                               |
     6-action | Grab                               |
 6-subactions | 💰🔊                                 |
            1 | Punch                              |
              | 👊🔊🔊➜                               |
            2 | Smash                              |
              | 📷🔊🔊➜                               |
            3 | Observe                            |
              | 💡🔍🔊                                |
            4 | Punch                              |
              | 👊🔊🔊➜                               |
            5 | Smash                              |
              | 📷🔊🔊➜                               |
            6 | Grab                               |
              | 💰🔊                                 |
        Rolls | Punch                              |
              | 👊🔊🔊➜/Smash                         |
              | 📷🔊🔊➜/Observe                       |
              | 💡🔍🔊/Punch                          |
              | 👊🔊🔊➜/Smash                         |
              | 📷🔊🔊➜/Grab                          |
              | 💰🔊                                 |
     Upgrade1 | Steal                              |
Upgrade1Rolls | Flip                               |
              | 👊🔊➜/Disable                        |
              | 📷🔊➜/Recon                          |
              | 💡💡🔊🔍/Punch                         |
              | 👊🔊🔊➜/Smash                         |
              | 📷🔊🔊➜/Ransack                       |
              | 💰💰🔊                                |
     Upgrade2 | Pilfer                             |
Upgrade2Rolls | Punch                              |
              | 👊🔊🔊➜/Unplug                        |
              | 📷📷🔊➜/Key In                        |
              | 🔍🔓🔊/Flip                           |
              | 👊🔊➜/Disable                        |
              | 📷🔊➜/Grab                           |
              | 💰🔊                                 |
            💡 | 1                                  |
            🔊 | 10                                 |
            ➜ | 4                                  |
            📷 | 2                                  |
            👊 | 2                                  |
            🔓 | 0                                  |
            🔍 | 1                                  |
            💰 | 1                                  |
      Good at | Subdue, Cameras                    |
        Lacks | Multi-moves, ideas, locks          |
    Seasoning | Loot                               |
  Noise Level | High                               |
              ╰------------------------------------╯
